index,href,id,contents,key,date,contents_order,hate,categories,degree,keyword
1,/bbs/Gossiping/M.1621405056.A.E1A.html,theskyofblue,結果去年罵的要死的還賞個AZ舔的要死的屁都沒,AstraZeneca, 05/19 14:19 ,12,1,5,1,"罵的要死,舔的要死"
2,/bbs/Gossiping/M.1621405056.A.E1A.html,chen31502,覺青拒絕中國代理的BNT要不要拒絕CHO發的AZ啊,AstraZeneca, 05/19 14:20 ,24,1,3,3,覺青
3,/bbs/Gossiping/M.1621405056.A.E1A.html,xzsa1471,說要等莫德納的弱智繼續等啊哈哈,AstraZeneca, 05/19 14:23 ,31,1,3,2,等莫德納的弱智
4,/bbs/Gossiping/M.1633091161.A.8D9.html,mo42,還好吧不是乞到很多AZ嗎國外很多不要的呢,AZ,  223.139.1.233 10/01 20:41 ,26,1,4,1,乞到很多AZ
5,/bbs/Gossiping/M.1633091161.A.8D9.html,coimbra,那之前怎不勾？？不是罵得要死嗎？血栓疫苗，乞丐疫苗！這麼噁心的疫苗還是別人打就好。想打什麼就要專一阿等莫德納bnt不好嗎,AZ, 223.139.196.74 10/01 20:44 ,28,1,1,1,"血栓疫苗,乞丐疫苗,噁心的疫苗"
6,/bbs/Gossiping/M.1633091161.A.8D9.html,jocker1412,勾了不一定要打，不勾一定打不到到底要多智缺才會不勾？這麼相信政府只能高端了,AZ,    39.8.192.23 10/01 20:48 ,32,1,3,2,智缺才會不勾
7,/bbs/Gossiping/M.1633080240.A.484.html,thx9527,阿你各位AZ仔中間16周有金身是不是,AZ, 111.255.133.71 10/01 20:02 ,79,1,3,3,AZ仔
8,/bbs/Gossiping/M.1633062079.A.F7A.html,ihl123456,高端份子總是孤獨的沒事,AZ,  1.200.244.108 10/01 12:22 ,6,1,3,3,高端份子
9,/bbs/Gossiping/M.1633062079.A.F7A.html,tatol,高端的世界只有印尼,AZ, 133.18.208.150 10/01 12:24 ,26,1,0,0,
10,/bbs/Gossiping/M.1633062079.A.F7A.html,loverxa,高端仔世界地圖少了澳洲美洲歐洲,AZ,157.107.73.127 10/01 12:24 ,28,1,3,3,高端仔
11,/bbs/Gossiping/M.1633062079.A.F7A.html,bigcho,印度AZ是加了香料嗎,AZ,211.20.251.205 10/01 12:24 ,31,1,2,1,"印度AZ,加了香料"
12,/bbs/Gossiping/M.1633062079.A.F7A.html,giunrz,澳洲都只有牛羊的窮國我們高端人不去,AZ, 163.19.229.190 10/01 12:27 ,46,1,2,2,"澳洲,窮國"
13,/bbs/Gossiping/M.1633062079.A.F7A.html,mxr,高端糞針。全球皆知,AZ,    42.72.23.45 10/01 12:27 ,48,1,1,2,高端糞針
14,/bbs/Gossiping/M.1633062079.A.F7A.html,Sowela,高端仔的世界地圖長什麼樣？,AZ, 110.28.194.116 10/01 12:31 ,79,1,3,3,高端仔
15,/bbs/Gossiping/M.1633062079.A.F7A.html,ziya,高端仔：世界不是只有...怎麼越來越少,AZ,   1.170.216.14 10/01 12:31 ,80,1,3,3,高端仔
16,/bbs/Gossiping/M.1633062079.A.F7A.html,firemothra,高端的世界就是印尼,AZ,  114.40.72.229 10/01 12:33 ,95,1,0,0,
17,/bbs/Gossiping/M.1633062079.A.F7A.html,gibbs1286,高端人士總是孤獨的XD,AZ,223.140.113.236 10/01 12:34 ,99,1,0,0,高端人士
18,/bbs/Gossiping/M.1633062079.A.F7A.html,xbit,高端仔誰說只有印尼還有中東跟非洲,AZ,  114.47.47.225 10/01 12:35 ,104,1,3,3,高端仔
19,/bbs/Gossiping/M.1633062079.A.F7A.html,monkey6,高端仔之前都怎麼嘲笑科興國藥的，可悲啊,AZ, 114.136.17.180 10/01 12:40 ,125,1,3,1,高端仔
20,/bbs/Gossiping/M.1633062079.A.F7A.html,milleniue,低端才去澳洲，高端都去印尼羨慕嗎?,AZ,  61.219.99.127 10/01 12:41 ,128,1,2,2,"低端,去澳洲"
21,/bbs/Gossiping/M.1633062079.A.F7A.html,crazydai,到底是在high三小？高端一年後都沒再來靠腰好嗎？,AZ,123.195.200.147 10/01 13:26 ,228,1,5,2,"high三小,靠腰"
22,/bbs/Gossiping/M.1633062079.A.F7A.html,sendicmimic,某島的疫苗連科興都比不上,AZ, 36.238.137.120 10/01 13:42 ,244,1,1,3,連科興都比不上
23,/bbs/Gossiping/M.1633062079.A.F7A.html,AGATELINK,大洋州從高端仔的世界地圖除名！,AZ,180.217.215.108 10/01 13:58 ,254,1,3,3,高端仔
24,/bbs/Gossiping/M.1633062079.A.F7A.html,lucifiel1618,印度AZ有咖哩味嗎,AZ, 111.254.64.112 10/01 16:20 ,315,1,2,1,"印度AZ,咖哩味"
25,/bbs/Gossiping/M.1633056679.A.D97.html,bill403777,什麼野雞疫苗有高端好嗎?,AZ,   42.72.43.145 10/01 10:52 ,2,1,1,2,野雞疫苗
26,/bbs/Gossiping/M.1633056679.A.D97.html,pippen456,竟然比祖國科興好,AZ, 210.63.221.136 10/01 11:06 ,16,1,0,0,
27,/bbs/Gossiping/M.1633056679.A.D97.html,strongmary,高端比國藥好太多高端比科興好太多,AZ,223.140.220.190 10/01 11:10 ,17,1,1,1,"高端比國藥好,高端比科興好"
