index,href,id,contents,key,date,contents_order,hate,categories,degree,keyword,position,categories_2,categories_3,categories_4,categories_5
7511,/bbs/Gossiping/M.1631600667.A.2D9.html,TinyB,韭菜們乖乖去打高端，我要錢錢進口袋,疫苗,  60.251.222.49 09/14 16:24 ,221,1,3,3,韭菜,"[(0, 2)]",0,1,0,0
5743,/bbs/Gossiping/M.1624001738.A.4BB.html,cismyname,就那些挺國產，最後會去打BNT的蛆,bnt,  1.165.141.191 06/18 16:31 ,392,1,3,2,去打BNT的蛆,"[(0, 5)]",0,1,0,0
17042,/bbs/Gossiping/M.1629881495.A.325.html,kissa0924307,自己打BNT然後叫別人打高端的蟑螂最該死,高端,  36.234.190.85 08/25 17:08 ,124,1,3,2,蟑螂最該死,"[(15, 20)]",0,1,0,0
1160,/bbs/Gossiping/M.1627718055.A.720.html,rainin,韭菜想打只能打高端,AZ,  61.227.240.61 07/31 16:10 ,59,1,3,3,韭菜,"[(0, 2)]",0,1,0,0
2038,/bbs/Gossiping/M.1625393101.A.4BB.html,pierse,817去搶殘際真的好笑有台灣價值請打高端,AZ,223.137.216.214 07/04 18:23 ,26,1,3,3,"817,打高端","[(0, 3), (17, 20)]",0,1,0,0
4147,/bbs/Gossiping/M.1630236548.A.1EB.html,scott0104,照蟑螂說法，這算不算在黑BNT啊,bnt,220.142.129.122 08/29 19:38 ,58,1,3,2,"蟑螂,黑BNT","[(0, 3), (13, 16)]",0,1,0,0
10786,/bbs/Gossiping/M.1624941433.A.7A3.html,nthomas,噁心第一線就會打az沒有讓你打到莫德,疫苗,223.136.226.184 06/29 12:37 ,1,1,4,3,"噁心,第一線,打az","[(0, 2), (2, 5), (7, 10)]",0,0,1,0
5200,/bbs/Gossiping/M.1626152657.A.605.html,ohmama100,高端留給817,bnt,  39.11.229.225 07/13 13:29 ,39,1,3,3,高端留給817,"[(0, 5)]",0,1,0,0
12684,/bbs/Gossiping/M.1622733910.A.618.html,zzoohh,反az的明明是八卦智障，有夠不要臉耶，這也想推啊,疫苗,220.143.237.184 06/04 01:31 ,277,1,3,2,"反az,智障,不要臉","[(0, 3), (9, 11), (14, 17)]",0,1,0,0
3826,/bbs/Gossiping/M.1630575846.A.ECD.html,antineutrino,817千萬不要打bnt中國疫苗啊,bnt, 111.83.166.201 09/02 17:59 ,39,1,3,1,"817,bnt中國疫苗","[(6, 10), (22, 24)]",0,1,0,0
