href,id,contents,key,date,contents_order,hate,hate_categories,hate_degree,position1,position2
/bbs/Gossiping/M.1624832365.A.785.html,liuedd, 高端交給你多打一點,AstraZeneca,    42.73.81.45 06/28 10:04 ,96,1,,,,
/bbs/Gossiping/M.1621405056.A.E1A.html,theskyofblue, 結果去年罵的要死的還賞個AZ  舔的要死的屁都沒,AstraZeneca, 05/19 14:19 ,12,1,1,3,"(4,8)","(16,20)"
/bbs/Gossiping/M.1621405056.A.E1A.html,chen31502, 覺青拒絕中國代理的BNT  要不要拒絕CHO發的AZ啊,AstraZeneca, 05/19 14:20 ,24,1,3,3,"(0,2)",
/bbs/Gossiping/M.1621405056.A.E1A.html,xzsa1471, 說要等莫德納的弱智繼續等啊哈哈,AstraZeneca, 05/19 14:23 ,31,1,3,1,"(7,9)",
/bbs/Gossiping/M.1633091161.A.8D9.html,mo42, 還好吧不是乞到很多AZ嗎 國外很多不要的呢,AZ,  223.139.1.233 10/01 20:41 ,26,1,4,3,"(5,12)",
/bbs/Gossiping/M.1633091161.A.8D9.html,coimbra, 那之前怎不勾？？不是罵得要死嗎？血栓疫苗，乞丐疫苗！這麼噁心的疫苗還是別人打就好。想打什麼就要專一阿 等莫德納bnt不好嗎,AZ, 223.139.196.74 10/01 20:44 ,28,1,1,1,"(21,25)","(28,33)"
/bbs/Gossiping/M.1633091161.A.8D9.html,jocker1412, 勾了不一定要打，不勾一定打不到到底要多智缺才會不勾？這麼相信政府只能高端了,AZ,    39.8.192.23 10/01 20:48 ,32,1,3,2,"(19,21)",
/bbs/Gossiping/M.1633080240.A.484.html,thx9527, 阿你各位AZ仔中間16周有金身是不是,AZ, 111.255.133.71 10/01 20:02 ,79,1,3,3,"(4,7)",
/bbs/Gossiping/M.1633062887.A.3E1.html,SRadiant, 不是世界不承認高端，是高端不承認世界,AZ,  111.82.236.60 10/01 12:37 ,2,1,,,,
/bbs/Gossiping/M.1633062079.A.F7A.html,ihl123456, 高端份子總是孤獨的 沒事,AZ,  1.200.244.108 10/01 12:22 ,6,1,,,,
/bbs/Gossiping/M.1633062079.A.F7A.html,tatol, 高端的世界只有印尼,AZ, 133.18.208.150 10/01 12:24 ,26,1,3,3,"(0,9)",
/bbs/Gossiping/M.1633062079.A.F7A.html,loverxa, 高端仔世界地圖少了澳洲美洲歐洲,AZ,157.107.73.127 10/01 12:24 ,28,1,3,3,"(0,3)",
/bbs/Gossiping/M.1633062079.A.F7A.html,bigcho, 印度AZ是加了香料嗎,AZ,211.20.251.205 10/01 12:24 ,31,1,2,3,,
/bbs/Gossiping/M.1633062079.A.F7A.html,giunrz, 澳洲都只有牛羊的窮國 我們高端人不去,AZ, 163.19.229.190 10/01 12:27 ,46,1,2,2,"(0,2)","(8,10)"
/bbs/Gossiping/M.1633062079.A.F7A.html,mxr, 高端糞針。全球皆知,AZ,    42.72.23.45 10/01 12:27 ,48,1,1,1,"(0,4)",
/bbs/Gossiping/M.1633062079.A.F7A.html,Sowela, 高端仔的世界地圖長什麼樣？,AZ, 110.28.194.116 10/01 12:31 ,79,1,3,3,"(0,3)",
/bbs/Gossiping/M.1633062079.A.F7A.html,ziya, 高端仔：世界不是只有...怎麼越來越少,AZ,   1.170.216.14 10/01 12:31 ,80,1,3,3,"(0,3)",
/bbs/Gossiping/M.1633062079.A.F7A.html,firemothra, 高端的世界就是印尼,AZ,  114.40.72.229 10/01 12:33 ,95,1,3,3,"(0,9)",
/bbs/Gossiping/M.1633062079.A.F7A.html,gibbs1286, 高端人士總是孤獨的XD,AZ,223.140.113.236 10/01 12:34 ,99,1,,,,
/bbs/Gossiping/M.1633062079.A.F7A.html,xbit, 高端仔誰說只有印尼還有中東跟非洲,AZ,  114.47.47.225 10/01 12:35 ,104,1,3,3,"(0,3)",
/bbs/Gossiping/M.1633062079.A.F7A.html,monkey6, 高端仔之前都怎麼嘲笑科興國藥的，可悲啊,AZ, 114.136.17.180 10/01 12:40 ,125,1,3,3,"(0,3)","(16,19)"
/bbs/Gossiping/M.1633062079.A.F7A.html,milleniue, 低端才去澳洲，高端都去印尼羨慕嗎?,AZ,  61.219.99.127 10/01 12:41 ,128,1,3,2,"(0,2)",
/bbs/Gossiping/M.1633062079.A.F7A.html,crazydai, 到底是在high三小？高端一年後都沒再來靠腰好嗎？,AZ,123.195.200.147 10/01 13:26 ,228,1,,,,
/bbs/Gossiping/M.1633062079.A.F7A.html,sendicmimic, 某島的疫苗連科興都比不上,AZ, 36.238.137.120 10/01 13:42 ,244,1,1,3,"(0,12)",
/bbs/Gossiping/M.1633062079.A.F7A.html,AGATELINK, 大洋州從高端仔的世界地圖除名！,AZ,180.217.215.108 10/01 13:58 ,254,1,3,3,"(4,7)",
/bbs/Gossiping/M.1633062079.A.F7A.html,lucifiel1618, 印度AZ有咖哩味嗎,AZ, 111.254.64.112 10/01 16:20 ,315,1,2,3,"(0,9)",
/bbs/Gossiping/M.1633056679.A.D97.html,bill403777, 什麼野雞疫苗 有高端好嗎?,AZ,   42.72.43.145 10/01 10:52 ,2,1,1,2,"(2,6)",
/bbs/Gossiping/M.1633056679.A.D97.html,pippen456, 竟然比祖國科興好,AZ, 210.63.221.136 10/01 11:06 ,16,1,1,3,"(2,8)",
/bbs/Gossiping/M.1633056679.A.D97.html,strongmary, 高端比國藥好太多高端比科興好太多,AZ,223.140.220.190 10/01 11:10 ,17,1,1,3,"(0,16)",
/bbs/Gossiping/M.1633014011.A.CC8.html,pipipa, 克拉克：高端等你,AZ, 118.163.29.231 10/01 07:47 ,43,1,,,,
/bbs/Gossiping/M.1632986944.A.E94.html,youtrue, 莫德納反而變孤兒了,AZ,   42.73.171.48 09/30 15:38 ,24,1,3,3,"(0,9)",
/bbs/Gossiping/M.1632986944.A.E94.html,STAEGG, 幹你娘我35啥時能打BNT,AZ,  101.10.104.50 09/30 15:44 ,34,1,5,1,"(0,3)",
/bbs/Gossiping/M.1632986944.A.E94.html,pm2001, 你各位勞工乖乖打高端阿 笑死,AZ, 140.137.198.18 09/30 15:47 ,39,1,3,3,"(0,11)",
/bbs/Gossiping/M.1632986944.A.E94.html,randy211161, 24歲打不到BNT 爛政府,AZ,   42.72.56.230 09/30 16:40 ,86,1,4,2,"(10,13)",
/bbs/Gossiping/M.1632986944.A.E94.html,coolp77, 幹你娘 我42 今年8月才變慢性病 什麼時候我他媽才有bnt可以打 幹,AZ,111.240.114.193 09/30 19:25 ,119,1,5,1,"(0,3)","(22,25)"
/bbs/Gossiping/M.1632900907.A.AA8.html,carsly, 垃圾AZ就別人不要的，撿垃圾拿來當政績,AZ,   111.71.43.96 09/29 16:09 ,67,1,1,1,"(0,4)","(12,14)"
/bbs/Gossiping/M.1632848225.A.970.html,dos32408, 不打高端 就是活該,AZ, 223.137.126.66 09/29 01:03 ,11,1,,,,
/bbs/Gossiping/M.1632848225.A.970.html,kch0520, 自己執意只勾選要莫德納，活該,AZ,  220.141.10.13 09/29 01:11 ,23,1,,,,
